transaction_id,sender,receiver,amount,timestamp,risk,isFraud
TX00001,ACC856,ACC845,251,2026-09-04 22:56:55.882618,LOW,0
TX00002,ACC420,ACC299,18990,2026-09-04 22:55:55.882618,HIGH,1
TX00003,ACC983,ACC619,14375,2026-09-04 22:54:55.882618,MEDIUM,0
TX00004,ACC843,ACC935,10134,2026-09-04 22:53:55.882618,MEDIUM,0
TX00005,ACC475,ACC135,3244,2026-09-04 22:52:55.882618,LOW,0
TX00006,ACC528,ACC856,2186,2026-09-04 22:51:55.882618,LOW,0
TX00007,ACC632,ACC323,10561,2026-09-04 22:50:55.882618,MEDIUM,0
TX00008,ACC444,ACC163,8024,2026-09-04 22:49:55.882618,MEDIUM,0
TX00009,ACC316,ACC970,19609,2026-09-04 22:48:55.882618,HIGH,1
TX00010,ACC112,ACC615,8730,2026-09-04 22:47:55.882618,MEDIUM,0
TX00011,ACC744,ACC170,19865,2026-09-04 22:46:55.882618,HIGH,0
TX00012,ACC744,ACC484,2350,2026-09-04 22:45:55.882618,LOW,0
TX00013,ACC691,ACC739,3609,2026-09-04 22:44:55.882618,LOW,0
TX00014,ACC134,ACC104,18970,2026-09-04 22:43:55.882618,HIGH,0
TX00015,ACC788,ACC588,4686,2026-09-04 22:42:55.882618,LOW,0
TX00016,ACC577,ACC570,10721,2026-09-04 22:41:55.882618,MEDIUM,0
TX00017,ACC268,ACC726,15889,2026-09-04 22:40:55.882618,HIGH,1
TX00018,ACC196,ACC319,16259,2026-09-04 22:39:55.882618,HIGH,1
TX00019,ACC922,ACC118,1471,2026-09-04 22:38:55.882618,LOW,0
TX00020,ACC614,ACC655,2993,2026-09-04 22:37:55.882618,LOW,0
TX00021,ACC520,ACC283,7067,2026-09-04 22:36:55.882618,LOW,0
TX00022,ACC661,ACC837,4673,2026-09-04 22:35:55.882618,LOW,0
TX00023,ACC396,ACC603,6035,2026-09-04 22:34:55.882618,LOW,0
TX00024,ACC134,ACC427,12849,2026-09-04 22:33:55.882618,MEDIUM,0
TX00025,ACC306,ACC173,8726,2026-09-04 22:32:55.882618,MEDIUM,0
TX00026,ACC358,ACC157,8291,2026-09-04 22:31:55.882618,MEDIUM,0
TX00027,ACC197,ACC837,10947,2026-09-04 22:30:55.882618,MEDIUM,0
TX00028,ACC220,ACC949,10984,2026-09-04 22:29:55.882618,MEDIUM,0
TX00029,ACC140,ACC232,7633,2026-09-04 22:28:55.882618,LOW,0
TX00030,ACC838,ACC896,9117,2026-09-04 22:27:55.882618,MEDIUM,0
TX00031,ACC791,ACC878,13569,2026-09-04 22:26:55.882618,MEDIUM,0
TX00032,ACC549,ACC947,19964,2026-09-04 22:25:55.882618,HIGH,1
TX00033,ACC952,ACC276,11280,2026-09-04 22:24:55.882618,MEDIUM,0
TX00034,ACC898,ACC793,8201,2026-09-04 22:23:55.882618,MEDIUM,0
TX00035,ACC220,ACC517,13454,2026-09-04 22:22:55.882618,MEDIUM,0
TX00036,ACC176,ACC621,1551,2026-09-04 22:21:55.882618,LOW,0
TX00037,ACC906,ACC871,15350,2026-09-04 22:20:55.882618,HIGH,1
TX00038,ACC842,ACC316,13295,2026-09-04 22:19:55.882618,MEDIUM,0
TX00039,ACC200,ACC602,14057,2026-09-04 22:18:55.882618,MEDIUM,0
TX00040,ACC419,ACC373,15238,2026-09-04 22:17:55.882618,HIGH,1
TX00041,ACC387,ACC526,12516,2026-09-04 22:16:55.882618,MEDIUM,0
TX00042,ACC534,ACC216,6717,2026-09-04 22:15:55.882618,LOW,0
TX00043,ACC538,ACC208,13173,2026-09-04 22:14:55.882618,MEDIUM,0
TX00044,ACC603,ACC186,18278,2026-09-04 22:13:55.882618,HIGH,1
TX00045,ACC979,ACC836,4875,2026-09-04 22:12:55.882618,LOW,0
TX00046,ACC106,ACC234,8105,2026-09-04 22:11:55.882618,MEDIUM,0
TX00047,ACC762,ACC455,19880,2026-09-04 22:10:55.882618,HIGH,0
TX00048,ACC302,ACC859,6191,2026-09-04 22:09:55.882618,LOW,0
TX00049,ACC985,ACC348,10174,2026-09-04 22:08:55.882618,MEDIUM,0
TX00050,ACC191,ACC400,18841,2026-09-04 22:07:55.882618,HIGH,0
TX00051,ACC931,ACC184,6276,2026-09-04 22:06:55.882618,LOW,0
TX00052,ACC786,ACC333,17608,2026-09-04 22:05:55.882618,HIGH,0
TX00053,ACC809,ACC567,15652,2026-09-04 22:04:55.882618,HIGH,1
TX00054,ACC911,ACC885,4215,2026-09-04 22:03:55.882618,LOW,0
TX00055,ACC194,ACC183,5955,2026-09-04 22:02:55.882618,LOW,0
TX00056,ACC957,ACC368,4134,2026-09-04 22:01:55.882618,LOW,0
TX00057,ACC638,ACC774,3264,2026-09-04 22:00:55.882618,LOW,0
TX00058,ACC691,ACC299,11882,2026-09-04 21:59:55.882618,MEDIUM,0
TX00059,ACC622,ACC865,10127,2026-09-04 21:58:55.882618,MEDIUM,0
TX00060,ACC589,ACC974,2064,2026-09-04 21:57:55.882618,LOW,0
TX00061,ACC661,ACC866,15022,2026-09-04 21:56:55.882618,HIGH,1
TX00062,ACC231,ACC436,18456,2026-09-04 21:55:55.882618,HIGH,0
